post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_global_unique_id,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:pos_product_visibility
"Obsidian & Red Coral Jewelry Set with 925 Silver",obsidian-red-coral-jewelry-set-with-925-silver,,54193,"<p data-start=""1029"" data-end=""1404""><br data-start=""1081"" data-end=""1084"" />Experience refined elegance with the powerful <strong data-start=""1130"" data-end=""1142"">Obsidian</strong> and the passionate <strong data-start=""1162"" data-end=""1175"">Red Coral</strong>, enhanced by the delicate shine of <strong data-start=""1211"" data-end=""1234"">925 sterling silver</strong>. This unique set (bracelet, earrings, and pendant with silver chain) beautifully blends the natural beauty of crystals with their protective and energizing properties.</p>

<p data-start=""1406"" data-end=""1548"">🔴 <strong data-start=""1409"" data-end=""1422"">Red Coral</strong> symbolizes vitality, love, and the energy of life.<br data-start=""1473"" data-end=""1476"" />⚫ <strong data-start=""1478"" data-end=""1490"">Obsidian</strong> is the stone of protection, courage, and inner balance.</p>

<p data-start=""1550"" data-end=""1632"">A perfect set for the modern woman who values both style and meaningful jewelry.</p>

<p data-start=""1550"" data-end=""1632"">💎 <strong data-start=""1454"" data-end=""1496"">Price: 30 EUR  + courier fees</strong><br data-start=""1496"" data-end=""1499"" />📦 Free delivery across the EU for orders over <strong data-start=""1546"" data-end=""1557"">150 EUR</strong>.</p>

<p data-start=""1550"" data-end=""1632"">#jewelry #handmadejewelry #sterlingsilver #naturalcrystals #obsidian #redcoral #crystalenergy #uniquejewelry #womenstyle #naturalbeauty #giftforher #semipreciousstones #elegance #crystaljewelry #jewelryset</p>","❤️🖤 Power &amp; passion in one set!<br data-start=""2043"" data-end=""2046"" />Embrace the vibrant energy of <strong data-start=""2076"" data-end=""2089"">Red Coral</strong> and the protective force of <strong data-start=""2118"" data-end=""2130"">Obsidian</strong>, with jewelry that truly stands out.<br data-start=""2167"" data-end=""2170"" />✨ 925 silver, natural crystals, authentic beauty.",publish,,0,"2025-09-05 17:36:33",236945234,open,,,,no,no,,30,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2025/09/IMG-20250905-WA0011.jpg ! alt :  ! title : IMG-20250905-WA0011 ! desc :  ! caption : ",,https://simonneellesuryacenter.com/home/shop/obsidian-red-coral-jewelry-set-with-925-silver/,0,,"Simonne Elle",simple,,"Collections|FIZIC > Deco -Handmade|FIZIC",,,
"Amethyst Jewelry Set with 925 Silver",54205,,54205,"<p data-start=""894"" data-end=""1137"">Elegance and spirituality in one set. This jewelry set (bracelet, earrings, and pendant with 925 silver chain) is crafted from natural <strong data-start=""1072"" data-end=""1084"">Amethyst</strong>, known as the crystal of wisdom and inner balance.</p>

<p data-start=""1139"" data-end=""1250"">💜 <strong data-start=""1142"" data-end=""1154"">Amethyst</strong> promotes calmness, clarity, and spiritual protection, symbolizing harmony and refined beauty.</p>

<p data-start=""1252"" data-end=""1361"">💎 <strong data-start=""1255"" data-end=""1297"">Price: 30 EUR / 150 RON + courier fees</strong><br data-start=""1297"" data-end=""1300"" />📦 Free delivery across the EU for orders over <strong data-start=""1347"" data-end=""1358"">150 EUR</strong>.</p>","<p data-start=""1763"" data-end=""1901"">💜 Calm. Elegance. Protection.<br data-start=""1793"" data-end=""1796"" />The <strong data-start=""1800"" data-end=""1829"">Amethyst &amp; 925 Silver Set</strong> is more than jewelry – it’s a talisman of balance and refined beauty.</p>
<p data-start=""1903"" data-end=""1989"">💎 <strong data-start=""1906"" data-end=""1941"">30 EUR / 150 RON + courier fees</strong><br data-start=""1941"" data-end=""1944"" />📦 FREE EU delivery for orders over 150 EUR</p>",publish,,0,"2025-09-05 17:51:42",236945234,open,,,,no,no,,30,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2025/09/IMG-20250905-WA0016-e1757087443483.jpg ! alt :  ! title : IMG-20250905-WA0016 ! desc :  ! caption : ",,https://simonneellesuryacenter.com/home/shop/54205/,0,,,simple,,"Collections|FIZIC > Deco -Handmade|FIZIC",,,
"Zoisite with Ruby & Lava Rock Jewelry Set with 925 Silver",zoisite-with-ruby-lava-rock-jewelry-set-with-925-silver,,54217,"<p data-start=""1159"" data-end=""1491"">A jewelry set full of energy and uniqueness. Crafted from natural <strong data-start=""1289"" data-end=""1310"">Zoisite with Ruby</strong> and <strong data-start=""1315"" data-end=""1328"">Lava Rock</strong>, enhanced with <strong data-start=""1344"" data-end=""1367"">925 sterling silver</strong>, this set (bracelet, earrings, and pendant with chain) is the perfect choice for women who love jewelry with personality.</p>

<p data-start=""1493"" data-end=""1682"">💚 <strong data-start=""1496"" data-end=""1517"">Zoisite with Ruby</strong> symbolizes vitality, passion, and courage, balancing heart and mind.<br data-start=""1586"" data-end=""1589"" />🌋 <strong data-start=""1592"" data-end=""1605"">Lava Rock</strong> represents inner strength, rebirth, and the grounding energy of the Earth.</p>

<p data-start=""1684"" data-end=""1793"">💎 <strong data-start=""1687"" data-end=""1729"">Price: 30 EUR / 150 RON + courier fees</strong><br data-start=""1729"" data-end=""1732"" />📦 Free delivery across the EU for orders over <strong data-start=""1779"" data-end=""1790"">150 EUR</strong>.</p>","<p data-start=""2209"" data-end=""2365"">💚🌋 Vitality. Courage. Inner strength.<br data-start=""2248"" data-end=""2251"" />The <strong data-start=""2255"" data-end=""2292"">Zoisite with Ruby &amp; Lava Rock Set</strong> carries powerful energy and authentic beauty, refined with 925 silver.</p>
<p data-start=""2367"" data-end=""2453"">💎 <strong data-start=""2370"" data-end=""2405"">30 EUR / 150 RON + courier fees</strong><br data-start=""2405"" data-end=""2408"" />📦 FREE EU delivery for orders over 150 EUR</p>",publish,,0,"2025-09-05 18:40:19",236945234,open,,,,no,no,,30,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2025/09/IMG-20250905-WA0014-e1757090392974.jpg ! alt :  ! title : IMG-20250905-WA0014 ! desc :  ! caption : ",,https://simonneellesuryacenter.com/home/shop/zoisite-with-ruby-lava-rock-jewelry-set-with-925-silver/,0,,"Simonne Elle",simple,,"Collections|FIZIC > Deco -Handmade|FIZIC",,,
"Imperial Jasper, Amazonite & Blue Quartz Jewelry Set with 925 Silver",imperial-jasper-amazonite-blue-quartz-jewelry-set-with-925-silver,,54226,"<p data-start=""1224"" data-end=""1601"">Natural elegance and inner balance – this jewelry set combines <strong data-start=""1362"" data-end=""1381"">Imperial Jasper</strong>, <strong data-start=""1383"" data-end=""1396"">Amazonite</strong>, and <strong data-start=""1402"" data-end=""1417"">Blue Quartz</strong>, refined with <strong data-start=""1432"" data-end=""1455"">925 sterling silver</strong>. Featuring a bracelet, earrings, and a pendant with chain, it is the perfect choice for women who love subtle beauty and crystals with meaning.</p>

<p data-start=""1603"" data-end=""1826"">💠 <strong data-start=""1606"" data-end=""1625"">Imperial Jasper</strong> is the stone of confidence, stability, and positive energy.<br data-start=""1685"" data-end=""1688"" />💚 <strong data-start=""1691"" data-end=""1704"">Amazonite</strong> brings peace, emotional balance, and clarity.<br data-start=""1750"" data-end=""1753"" />🔵 <strong data-start=""1756"" data-end=""1771"">Blue Quartz</strong> enhances calmness, communication, and inner harmony.</p>

<p data-start=""1828"" data-end=""1937"">💎 <strong data-start=""1831"" data-end=""1873"">Price: 30 EUR + courier fees</strong><br data-start=""1873"" data-end=""1876"" />📦 Free delivery across the EU for orders over <strong data-start=""1923"" data-end=""1934"">150 EUR</strong>.</p>","💠🔵 Balance &amp; elegance in one set!<br data-start=""2381"" data-end=""2384"" />Let the energy of <strong data-start=""2402"" data-end=""2421"">Imperial Jasper</strong>, the peace of <strong data-start=""2436"" data-end=""2449"">Amazonite</strong>, and the harmony of <strong data-start=""2470"" data-end=""2485"">Blue Quartz</strong> accompany you every day.",publish,,0,"2025-09-05 18:51:30",236945234,open,,,,no,no,,30,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2025/09/IMG-20250905-WA0013-e1757090992868.jpg ! alt :  ! title : IMG-20250905-WA0013 ! desc :  ! caption : ",,https://simonneellesuryacenter.com/home/shop/imperial-jasper-amazonite-blue-quartz-jewelry-set-with-925-silver/,0,,"Simonne Elle",simple,,"Collections|FIZIC > Deco -Handmade|FIZIC",,,
"Zebra Jasper, Picture Jasper, Howlite & Lava Rock Jewelry Set with 925 Silver",zebra-jasper-picture-jasper-howlite-lava-rock-jewelry-set-with-925-silver,,54236,"<p data-start=""1243"" data-end=""1537"">An elegant and powerful set that brings together the beauty and energy of four natural stones. Featuring a bracelet, earrings, and pendant with <strong data-start=""1471"" data-end=""1491"">925 silver chain</strong>, it blends neutral tones with deep meaning.</p>

<p data-start=""1539"" data-end=""1862"">🖤 <strong data-start=""1542"" data-end=""1558"">Zebra Jasper</strong> symbolizes balance between light and dark, vitality, and courage.<br data-start=""1624"" data-end=""1627"" />🤎 <strong data-start=""1630"" data-end=""1648"">Picture Jasper</strong> connects with nature, stability, and creative energy.<br data-start=""1702"" data-end=""1705"" />🤍 <strong data-start=""1708"" data-end=""1719"">Howlite</strong> is the stone of calmness, wisdom, and emotional peace.<br data-start=""1774"" data-end=""1777"" />🌋 <strong data-start=""1780"" data-end=""1793"">Lava Rock</strong> carries the energy of transformation, rebirth, and inner strength.</p>

<p data-start=""1864"" data-end=""1973"">💎 <strong data-start=""1867"" data-end=""1909"">Price: 30 EUR  + courier fees</strong><br data-start=""1909"" data-end=""1912"" />📦 Free delivery across the EU for orders over <strong data-start=""1959"" data-end=""1970"">150 EUR</strong>.</p>","<p data-start=""2383"" data-end=""2554"">🖤🤍 Balance. Strength. Elegance.<br data-start=""2416"" data-end=""2419"" />The <strong data-start=""2423"" data-end=""2480"">Zebra Jasper, Picture Jasper, Howlite &amp; Lava Rock Set</strong> embraces you with natural beauty and the protective energy of crystals.</p>
<p data-start=""2556"" data-end=""2642"">💎 <strong data-start=""2559"" data-end=""2594"">30 EUR  + courier fees</strong><br data-start=""2594"" data-end=""2597"" />📦 FREE EU delivery for orders over 150 EUR</p>",publish,,0,"2025-09-05 19:04:57",236945234,open,,,,no,no,,30,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2025/09/IMG-20250905-WA0012-e1757091858323.jpg ! alt :  ! title : IMG-20250905-WA0012 ! desc :  ! caption : ",,https://simonneellesuryacenter.com/home/shop/zebra-jasper-picture-jasper-howlite-lava-rock-jewelry-set-with-925-silver/,0,,"Simonne Elle",simple,,"FIZIC > Deco -Handmade|FIZIC",,,
"Garnet Jewelry Set with 925 Silver",garnet-jewelry-set-with-925-silver,,54248,"<p data-start=""916"" data-end=""1192""><br data-start=""954"" data-end=""957"" />A passionate and refined set crafted from natural <strong data-start=""1007"" data-end=""1017"">Garnet</strong>, enhanced with <strong data-start=""1033"" data-end=""1056"">925 sterling silver</strong> details. Featuring a bracelet, earrings, and pendant with chain, this jewelry set is a true statement of style and feminine strength.</p>

<p data-start=""1194"" data-end=""1321"">❤️ <strong data-start=""1197"" data-end=""1207"">Garnet</strong> is the stone of passion, vitality, and deep love. It is said to bring courage, self-confidence, and motivation.</p>

<p data-start=""1323"" data-end=""1432"">💎 <strong data-start=""1326"" data-end=""1368"">Price: 30 EUR + courier fees</strong><br data-start=""1368"" data-end=""1371"" />📦 Free delivery across the EU for orders over <strong data-start=""1418"" data-end=""1429"">150 EUR</strong>.</p>",,publish,,0,"2025-09-05 19:19:01",236945234,open,,,,no,no,,30,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2025/09/IMG-20250905-WA0009-e1757092791969.jpg ! alt :  ! title : IMG-20250905-WA0009 ! desc :  ! caption : ",,https://simonneellesuryacenter.com/home/shop/garnet-jewelry-set-with-925-silver/,0,,"Simonne Elle",simple,,"Collections|FIZIC > Deco -Handmade|FIZIC",,,
"Red Agate Jewelry Set with 925 Silver",red-agate-jewelry-set-with-925-silver,,54258,"<p data-start=""942"" data-end=""1194"">A vibrant jewelry set made from natural <strong data-start=""1026"" data-end=""1039"">Red Agate</strong>, enhanced with <strong data-start=""1055"" data-end=""1078"">925 sterling silver</strong> details. Including a bracelet, earrings, and pendant with chain, this set adds energy and elegance to any outfit.</p>

<p data-start=""1196"" data-end=""1339"">❤️ <strong data-start=""1199"" data-end=""1212"">Red Agate</strong> is the stone of vitality, courage, and passion. It is believed to provide protection, inner strength, and emotional balance.</p>

<p data-start=""1341"" data-end=""1450"">💎 <strong data-start=""1344"" data-end=""1386"">Price: 30 EUR + courier fees</strong><br data-start=""1386"" data-end=""1389"" />📦 Free delivery across the EU for orders over <strong data-start=""1436"" data-end=""1447"">150 EUR</strong>.</p>","<p data-start=""1860"" data-end=""2022"">❤️ Vitality &amp; passion at their finest!<br data-start=""1898"" data-end=""1901"" />The <strong data-start=""1905"" data-end=""1935"">Red Agate &amp; 925 Silver Set</strong> is the perfect choice for women who want to wear both energy and elegance every day.</p>
<p data-start=""2024"" data-end=""2110"">💎 <strong data-start=""2027"" data-end=""2062"">30 EUR + courier fees</strong><br data-start=""2062"" data-end=""2065"" />📦 FREE EU delivery for orders over 150 EUR</p>",publish,,0,"2025-09-05 19:56:09",236945234,open,,,,no,no,,30,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2025/09/IMG-20250905-WA0008-e1757094936668.jpg ! alt :  ! title : IMG-20250905-WA0008 ! desc :  ! caption : ",,https://simonneellesuryacenter.com/home/shop/red-agate-jewelry-set-with-925-silver/,0,,"Simonne Elle",simple,,"Collections|FIZIC > Deco -Handmade|FIZIC",,,
"Yellow Aventurine, Orange & Yellow Calcite Jewelry Set with 925 Silver",yellow-aventurine-orange-yellow-calcite-jewelry-set-with-925-silver,,54266,"<p data-start=""1181"" data-end=""1553"">A radiant jewelry set full of positivity, crafted from <strong data-start=""1313"" data-end=""1334"">Yellow Aventurine</strong>, <strong data-start=""1336"" data-end=""1354"">Orange Calcite</strong>, and <strong data-start=""1360"" data-end=""1378"">Yellow Calcite</strong>, refined with delicate <strong data-start=""1402"" data-end=""1425"">925 sterling silver</strong> details. Including a bracelet, earrings, and pendant with chain, this set embodies natural beauty and uplifting solar energy.</p>

<p data-start=""1555"" data-end=""1779"">☀️ <strong data-start=""1558"" data-end=""1579"">Yellow Aventurine</strong> is the stone of prosperity, optimism, and self-confidence.<br data-start=""1638"" data-end=""1641"" />🧡 <strong data-start=""1644"" data-end=""1662"">Orange Calcite</strong> enhances joy, creativity, and vitality.<br data-start=""1702"" data-end=""1705"" />💛 <strong data-start=""1708"" data-end=""1726"">Yellow Calcite</strong> promotes clarity, inner balance, and fresh energy.</p>

<p data-start=""1781"" data-end=""1890"">💎 <strong data-start=""1784"" data-end=""1826"">Price: 30 EUR  + courier fees</strong><br data-start=""1826"" data-end=""1829"" />📦 Free delivery across the EU for orders over <strong data-start=""1876"" data-end=""1887"">150 EUR</strong>.</p>","<p data-start=""2284"" data-end=""2417"">☀️ Joy, energy &amp; optimism in one set!<br data-start=""2321"" data-end=""2324"" />Wear the solar vibration of <strong data-start=""2352"" data-end=""2383"">Yellow Aventurine &amp; Calcite</strong> and let your soul shine bright.</p>
<p data-start=""2419"" data-end=""2505"">💎 <strong data-start=""2422"" data-end=""2457"">30 EUR + courier fees</strong><br data-start=""2457"" data-end=""2460"" />📦 FREE EU delivery for orders over 150 EUR</p>",publish,,0,"2025-09-05 20:02:48",236945234,open,,,,no,no,,30,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2025/09/IMG-20250905-WA0007-e1757095320137.jpg ! alt :  ! title : IMG-20250905-WA0007 ! desc :  ! caption : ",,https://simonneellesuryacenter.com/home/shop/yellow-aventurine-orange-yellow-calcite-jewelry-set-with-925-silver/,0,,"Simonne Elle",simple,,"FIZIC > Deco -Handmade|FIZIC",,,
"Malachite & Ruby Zoisite Jewelry Set with 925 Silver",54275,,54275,"<p data-start=""1097"" data-end=""1426"">An elegant jewelry set full of natural energy, crafted from <strong data-start=""1216"" data-end=""1229"">Malachite</strong> and <strong data-start=""1234"" data-end=""1250"">Ruby Zoisite</strong>, enhanced with <strong data-start=""1266"" data-end=""1289"">925 sterling silver</strong> details. Featuring a bracelet, earrings, and pendant with chain, it is the perfect choice for women who love jewelry with personality.</p>

<p data-start=""1428"" data-end=""1641"">💚 <strong data-start=""1431"" data-end=""1444"">Malachite</strong> is the stone of transformation and protection, bringing emotional balance and inner strength.<br data-start=""1538"" data-end=""1541"" />❤️ <strong data-start=""1544"" data-end=""1560"">Ruby Zoisite</strong> symbolizes passion, courage, and vitality, harmonizing the heart and the mind.</p>

<p data-start=""1643"" data-end=""1752"">💎 <strong data-start=""1646"" data-end=""1688"">Price: 30 EUR + courier fees</strong><br data-start=""1688"" data-end=""1691"" />📦 Free delivery across the EU for orders over <strong data-start=""1738"" data-end=""1749"">150 EUR</strong>.</p>","<p data-start=""2174"" data-end=""2333"">💚❤️ Balance &amp; vitality in one unique set!<br data-start=""2216"" data-end=""2219"" />Wear the natural beauty of <strong data-start=""2246"" data-end=""2259"">Malachite</strong> and the passionate energy of <strong data-start=""2289"" data-end=""2305"">Ruby Zoisite</strong>, refined with 925 silver.</p>
<p data-start=""2335"" data-end=""2421"">💎 <strong data-start=""2338"" data-end=""2373"">30 EUR + courier fees</strong><br data-start=""2373"" data-end=""2376"" />📦 FREE EU delivery for orders over 150 EUR</p>",publish,,0,"2025-09-05 20:18:42",236945234,open,,,,no,no,,30,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2025/09/IMG-20250905-WA0014-1-e1757096285501.jpg ! alt :  ! title : IMG-20250905-WA0014 ! desc :  ! caption : ",,https://simonneellesuryacenter.com/home/shop/54275/,0,,"Simonne Elle",simple,,"Collections|FIZIC > Deco -Handmade|FIZIC",,,
"Rose Quartz Jewelry Set with 925 Silver",rose-quartz-jewelry-set-with-925-silver,,54289,"<p data-start=""945"" data-end=""1220"">A delicate and romantic set crafted from natural <strong data-start=""1040"" data-end=""1055"">Rose Quartz</strong>, refined with <strong data-start=""1070"" data-end=""1093"">925 sterling silver</strong> details. Including a bracelet, earrings, and pendant with chain, this jewelry set is the symbol of pure love and femininity.</p>

<p data-start=""1222"" data-end=""1389"">🌸 <strong data-start=""1225"" data-end=""1240"">Rose Quartz</strong> is the stone of unconditional love, emotional balance, and inner harmony. It is believed to bring peace, openness of heart, and attract true love.</p>

<p data-start=""1391"" data-end=""1500"">💎 <strong data-start=""1394"" data-end=""1436"">Price: 30 EUR  + courier fees</strong><br data-start=""1436"" data-end=""1439"" />📦 Free delivery across the EU for orders over <strong data-start=""1486"" data-end=""1497"">150 EUR</strong>.</p>","<p data-start=""1878"" data-end=""2001"">🌸 Pure love &amp; delicate beauty.<br data-start=""1909"" data-end=""1912"" />The <strong data-start=""1916"" data-end=""1948"">Rose Quartz &amp; 925 Silver Set</strong> is the symbol of femininity and emotional balance.</p>
<p data-start=""2003"" data-end=""2089"">💎 <strong data-start=""2006"" data-end=""2041"">30 EUR  + courier fees</strong><br data-start=""2041"" data-end=""2044"" />📦 FREE EU delivery for orders over 150 EUR</p>",publish,,0,"2025-09-05 22:25:38",236945234,open,,,,no,no,,30,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://simonneellesuryacenter.com/wp-content/uploads/2025/09/cuart-roz-e1757103902259.jpg ! alt :  ! title : cuart-roz ! desc :  ! caption : ",,https://simonneellesuryacenter.com/home/shop/rose-quartz-jewelry-set-with-925-silver/,0,,"Simonne Elle",simple,,"Collections|FIZIC > Deco -Handmade|FIZIC",,,
